iter	TotalF1	MultiClass
254	0.6914655568	0.7417565617
255	0.6912392615	0.7414217993
256	0.6910143569	0.7410142595
257	0.6913306927	0.7406097873
258	0.6912406257	0.7401957326
259	0.6918108658	0.7397506834
260	0.6917247851	0.7393708273
261	0.6921232597	0.7391110577
262	0.6918149166	0.7388917135
263	0.6920453113	0.7384771824
264	0.6920453113	0.7380107365
265	0.6922700821	0.73768998
266	0.692624521	0.7372832559
267	0.6920421885	0.736902666
268	0.6923781581	0.7365869821
269	0.6926587882	0.736181363
270	0.6925605829	0.7359441753
271	0.6921078626	0.7356064448
272	0.6925605829	0.7352597657
273	0.6924704752	0.7349474309
274	0.692466457	0.7345232146
275	0.6924704752	0.7342231434
276	0.6924720061	0.7339397296
277	0.692352668	0.7336651255
278	0.6919113005	0.7333389982
279	0.6921363308	0.7330901524
280	0.6919651257	0.7327150167
281	0.6924525899	0.7324158521
282	0.6927150376	0.7320407961
283	0.6927681859	0.7317497385
284	0.693169304	0.7314729538
285	0.6933165155	0.7311911143
286	0.6933653643	0.7309524708
287	0.6929971199	0.7306189992
288	0.6932193633	0.7303830997
289	0.6933054617	0.729998042
290	0.6933915496	0.7296519041
291	0.6936779503	0.7294308071
292	0.6935918443	0.7291832174
293	0.6937239436	0.7288820359
294	0.6936779503	0.7285234778
295	0.693319625	0.728207078
296	0.6934419068	0.7279494486
297	0.6936570411	0.7277343385
298	0.6937972038	0.7274866068
299	0.6937151227	0.7271501297
300	0.6936610637	0.7268768412
301	0.6936610637	0.7265920088
302	0.6936610637	0.7262475805
303	0.6940984478	0.7259163577
304	0.6939622677	0.7255921387
305	0.6940234599	0.7253179736
306	0.6940123312	0.7250004722
307	0.6942193652	0.724650305
308	0.6940831543	0.7243350909
309	0.6943078334	0.7241123484
310	0.6946664413	0.7238936607
311	0.6947952371	0.7235413048
312	0.6948297351	0.7232656805
313	0.6950256535	0.7230319936
314	0.6948353281	0.7227540854
315	0.6947390071	0.722446007
316	0.6946026812	0.7221927913
317	0.694516592	0.721815619
318	0.6950730764	0.7214835345
319	0.6945714219	0.7211821407
320	0.6945810004	0.7208528914
321	0.6942297848	0.7205290894
322	0.6944542911	0.7202798836
323	0.6943081811	0.7199822565
324	0.6943524894	0.7197559789
325	0.6950183249	0.7195327895
326	0.6951905212	0.7192951484
327	0.6956256577	0.7190252787
328	0.6956296731	0.71873742
329	0.6956878122	0.7185552282
330	0.6959025975	0.7182859793
331	0.695493183	0.7180105457
332	0.6958099309	0.7177674304
333	0.6962472604	0.7175514481
334	0.6960365307	0.7173211577
335	0.6959464116	0.7171340955
336	0.6965164351	0.716811724
337	0.6967008353	0.7164796615
338	0.6964277896	0.7162386169
339	0.6964277896	0.7159842315
340	0.6967205208	0.7157010935
341	0.6969251437	0.7155122025
342	0.6967688925	0.7151765631
343	0.6971296318	0.7150145038
344	0.6974426215	0.714721963
345	0.6973208243	0.714448889
346	0.6974758424	0.7142657444
347	0.6972531528	0.7139876246
348	0.6977136806	0.7137798658
349	0.6976263041	0.7135352222
350	0.6977762154	0.7132629056
351	0.6979266639	0.7130192159
352	0.6973892248	0.712774596
353	0.6976118131	0.7126141583
354	0.6975535812	0.7123905247
355	0.6977803329	0.7121318676
356	0.6974170643	0.7119572927
357	0.6976479686	0.7117069135
358	0.6977081979	0.7114218907
359	0.6977984652	0.7112085874
360	0.6978887229	0.7110459596
361	0.6980392213	0.7108721813
362	0.6979027804	0.7106584002
363	0.6981756436	0.7104122321
364	0.6979649576	0.7101769105
365	0.6978424867	0.7100347502
366	0.6981474333	0.7097992956
367	0.6984341666	0.709590689
368	0.6984341666	0.7093744755
369	0.6982115133	0.7091888103
370	0.6983480973	0.709045782
371	0.6979463157	0.7088298093
372	0.6981382276	0.708625271
373	0.6981382276	0.7082863861
374	0.698260794	0.7080273643
375	0.6984510528	0.707829772
376	0.6984412854	0.7076570966
377	0.6982264473	0.707408066
378	0.6984587698	0.7071784196
379	0.6987673167	0.7069963195
380	0.698803869	0.7068113436
381	0.6988864378	0.7066009662
382	0.6988822697	0.7064066765
383	0.6990923255	0.7061187003
384	0.69918256	0.7058643786
385	0.6992268907	0.7055852275
386	0.6991687389	0.7054633508
387	0.6991687389	0.7052863715
388	0.6989537877	0.705057
389	0.6989627652	0.7048965331
390	0.6991687389	0.7046429782
391	0.6993053275	0.704437536
392	0.6993449611	0.7042475645
393	0.6993913596	0.7040476065
394	0.6995717629	0.7039321755
